"YEAR","TYPE","WEEK","Match","Team A","Team B","MATCH WIN","Score A","Score B","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w6d4","52","TEN","BAC","BAC","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d1","53","BRU","KOG","BRU","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d1","54","GJC","BAC","BAC","1","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d2","55","TEN","SLX","SLX","1","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d2","56","BRU","HD","BRU","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d3","57","FS","KOG","FS","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d3","58","TEN","GJC","GJC","2","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d3","59","EA","SLX","SLX","1","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d4","60","BAC","FS","FS","1","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d4","61","GJC","EA","GJC","1","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w7d4","62","HD","KOG","KOG","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d1","63","TEN","EA","TEN","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d1","64","SLX","FS","FS","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d2","65","KOG","BAC","KOG","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d2","66","BRU","GJC","BRU","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d3","67","EA","BAC","EA","3","1","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d3","68","HD","FS","FS","3","0","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d3","69","SLX","KOG","KOG","0","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d4","70","BRU","TEN","BRU","3","2","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d4","71","GJC","SLX","SLX","2","3","","","","","","","","","","","","","","","",""
"2026","RPL Summer","w8d4","72","EA","HD","EA","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w1d1","1","HKA","LIT","LIT","2","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w1d1","2","ONE","BMG","ONE","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w1d2","3","FW","BMG","FW","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w1d2","4","DCG","ANK","ANK","2","3","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w1d3","5","ANK","LIT","ANK","3","1","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w1d3","6","FW","HKA","FW","3","2","","","","","","","","","","","","","","","",""
"2026","GCS Spring","w2d1","7","ONE","LIT","ONE","3","0","","","","","","","","","","","","","","","",""
